epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5458,1.62493,2.99469,1.37755,0.41027,0.42245,0.38326,0.17821,1.75718,5.04905,1.52568,0.0006659,0.0006659,0.0006659
2,196.719,1.92703,2.4114,1.63891,0.49663,0.41504,0.41156,0.19695,1.78849,2.32953,1.59998,0.00131608,0.00131608,0.00131608
3,297.968,1.92437,2.39806,1.63793,0.52661,0.33983,0.38065,0.1967,1.73275,2.40546,1.62164,0.00194975,0.00194975,0.00194975
4,399.126,1.86713,2.29898,1.61963,0.46641,0.39972,0.38068,0.18816,1.79772,2.53106,1.58027,0.00192575,0.00192575,0.00192575
5,501.069,1.80261,2.2651,1.59521,0.51422,0.47354,0.4808,0.25271,1.50608,2.63816,1.41965,0.001901,0.001901,0.001901
6,604.261,1.69809,2.10129,1.50149,0.54837,0.51748,0.52024,0.29364,1.51302,3.17261,1.43776,0.00187625,0.00187625,0.00187625
7,707.086,1.66175,2.04184,1.50736,0.56842,0.52645,0.5205,0.27761,1.50776,2.9002,1.45733,0.0018515,0.0018515,0.0018515
8,812.093,1.61357,2.03669,1.45258,0.57952,0.539,0.54179,0.31369,1.41518,3.12275,1.38205,0.00182675,0.00182675,0.00182675
9,918.608,1.54634,1.92267,1.41303,0.54298,0.5766,0.56598,0.32521,1.41226,1.78053,1.37827,0.001802,0.001802,0.001802
10,1024.27,1.56987,1.80528,1.40799,0.60713,0.539,0.56329,0.33071,1.38111,2.47407,1.32097,0.00177725,0.00177725,0.00177725
11,1131.32,1.50342,1.79859,1.3832,0.58083,0.55388,0.56576,0.34538,1.30222,2.13655,1.31091,0.0017525,0.0017525,0.0017525
12,1236.55,1.49733,1.74701,1.37132,0.5703,0.5453,0.57361,0.31366,1.36884,1.82332,1.28797,0.00172775,0.00172775,0.00172775
13,1341.18,1.45228,1.7368,1.33902,0.62898,0.62535,0.66017,0.40118,1.19084,2.83643,1.22207,0.001703,0.001703,0.001703
14,1444.58,1.41039,1.67068,1.31559,0.64257,0.59843,0.61507,0.37514,1.27254,2.07115,1.28795,0.00167825,0.00167825,0.00167825
15,1549.19,1.41795,1.62764,1.31514,0.61391,0.55153,0.5694,0.35794,1.22845,2.14767,1.22257,0.0016535,0.0016535,0.0016535
16,1653.34,1.40475,1.6344,1.31411,0.57419,0.57242,0.59397,0.37356,1.24215,1.98198,1.23134,0.00162875,0.00162875,0.00162875
17,1758.85,1.36301,1.60307,1.29253,0.66514,0.57939,0.6415,0.41641,1.17844,2.72723,1.19752,0.001604,0.001604,0.001604
18,1861.85,1.35266,1.56308,1.28103,0.66835,0.60064,0.65958,0.4091,1.17427,1.9606,1.1765,0.00157925,0.00157925,0.00157925
19,1965.96,1.33179,1.55555,1.26936,0.68266,0.60724,0.67857,0.44031,1.15297,2.02588,1.17781,0.0015545,0.0015545,0.0015545
20,2069.39,1.33268,1.51193,1.24845,0.69085,0.6337,0.69185,0.44886,1.12516,1.56536,1.16773,0.00152975,0.00152975,0.00152975
21,2175.37,1.31673,1.49386,1.25681,0.68479,0.64206,0.68126,0.4507,1.14221,1.58418,1.14702,0.001505,0.001505,0.001505
22,2279.61,1.29313,1.48067,1.23977,0.67499,0.64345,0.68969,0.44028,1.19503,1.55321,1.18826,0.00148025,0.00148025,0.00148025
23,2383.02,1.27869,1.47523,1.2433,0.65904,0.65181,0.69491,0.44786,1.17649,1.67341,1.18065,0.0014555,0.0014555,0.0014555
24,2487.73,1.25573,1.43268,1.21795,0.66961,0.65877,0.66909,0.43897,1.12363,1.77812,1.15455,0.00143075,0.00143075,0.00143075
25,2590,1.27015,1.42831,1.22092,0.63847,0.6532,0.64038,0.41542,1.09619,2.13772,1.13864,0.001406,0.001406,0.001406
26,2694.28,1.24215,1.4092,1.21767,0.68598,0.66574,0.71568,0.4722,1.1008,1.64388,1.1343,0.00138125,0.00138125,0.00138125
27,2797.58,1.23994,1.39889,1.20306,0.68431,0.64485,0.68199,0.45368,1.08624,1.58369,1.1122,0.0013565,0.0013565,0.0013565
28,2900.72,1.21896,1.32848,1.19655,0.67251,0.67783,0.70713,0.46835,1.11237,1.60199,1.15433,0.00133175,0.00133175,0.00133175
29,3004.64,1.23429,1.39357,1.19905,0.66778,0.66908,0.70338,0.46668,1.1029,1.70186,1.12418,0.001307,0.001307,0.001307
30,3107.16,1.20637,1.36461,1.19444,0.65514,0.67131,0.7007,0.46647,1.0756,1.51875,1.12614,0.00128225,0.00128225,0.00128225
31,3210.7,1.19112,1.31079,1.19057,0.71881,0.67409,0.71573,0.47732,1.09417,1.70941,1.14109,0.0012575,0.0012575,0.0012575
32,3313.02,1.17737,1.31642,1.17682,0.69609,0.67131,0.7136,0.48628,1.05683,1.41759,1.1174,0.00123275,0.00123275,0.00123275
33,3417.24,1.17402,1.30143,1.17107,0.71367,0.67409,0.72574,0.47959,1.04141,1.43958,1.09192,0.001208,0.001208,0.001208
34,3518.8,1.15883,1.28288,1.16557,0.69862,0.67827,0.71701,0.48782,1.03179,1.57138,1.08202,0.00118325,0.00118325,0.00118325
35,3621.02,1.1633,1.28251,1.1667,0.7006,0.66992,0.714,0.49062,1.04587,1.44112,1.09991,0.0011585,0.0011585,0.0011585
36,3724.14,1.14284,1.23458,1.14487,0.73741,0.66435,0.72365,0.49476,1.03128,1.62528,1.08165,0.00113375,0.00113375,0.00113375
37,3825.99,1.13093,1.25102,1.14578,0.71887,0.71448,0.75779,0.50431,1.0456,1.49999,1.11169,0.001109,0.001109,0.001109
38,3929.91,1.13726,1.2268,1.14857,0.7324,0.69638,0.75389,0.52239,0.97108,1.55697,1.05911,0.00108425,0.00108425,0.00108425
39,4031.06,1.11769,1.21289,1.15056,0.69401,0.70474,0.72976,0.50108,1.01103,1.36822,1.08311,0.0010595,0.0010595,0.0010595
40,4134.59,1.11376,1.22687,1.13453,0.71185,0.65717,0.73463,0.51055,0.98209,1.36017,1.06261,0.00103475,0.00103475,0.00103475
41,4236.96,1.10535,1.17773,1.13492,0.65668,0.69499,0.70718,0.48773,0.99051,1.78548,1.05933,0.00101,0.00101,0.00101
42,4339.81,1.08725,1.18162,1.11686,0.74513,0.65963,0.73353,0.51689,0.95907,1.52151,1.06752,0.00098525,0.00098525,0.00098525
43,4442.58,1.07435,1.19862,1.11175,0.72878,0.67363,0.73343,0.5118,0.94952,1.43387,1.04861,0.0009605,0.0009605,0.0009605
44,4544.58,1.08286,1.1446,1.11589,0.78135,0.69181,0.76527,0.53075,0.9794,1.3772,1.05741,0.00093575,0.00093575,0.00093575
45,4648.73,1.07453,1.11588,1.10881,0.73669,0.68971,0.7357,0.50457,0.96619,1.57399,1.07037,0.000911,0.000911,0.000911
46,4751.19,1.05288,1.15682,1.10856,0.72011,0.72145,0.74668,0.52197,0.9802,1.36661,1.06445,0.00088625,0.00088625,0.00088625
47,4854.91,1.02,1.09798,1.08701,0.75074,0.70472,0.74805,0.52498,0.95088,1.52561,1.058,0.0008615,0.0008615,0.0008615
48,4956.75,1.03217,1.08767,1.07939,0.73393,0.71588,0.75807,0.52752,0.96421,1.33854,1.04603,0.00083675,0.00083675,0.00083675
49,5059.32,1.0405,1.10046,1.08988,0.68396,0.69638,0.71982,0.50863,0.94788,1.39842,1.05529,0.000812,0.000812,0.000812
50,5162.04,1.03885,1.09667,1.0981,0.72813,0.7162,0.7588,0.53211,0.96636,1.32778,1.06874,0.00078725,0.00078725,0.00078725
51,5263.91,1.02106,1.07384,1.09209,0.74748,0.70752,0.76444,0.54608,0.92928,1.42824,1.04582,0.0007625,0.0007625,0.0007625
52,5367.4,1.01357,1.06645,1.07276,0.72694,0.72671,0.74534,0.53365,0.91355,1.43663,1.02306,0.00073775,0.00073775,0.00073775
53,5469.05,1.01375,1.05988,1.07886,0.73879,0.71031,0.74785,0.53335,0.91904,1.40277,1.01952,0.000713,0.000713,0.000713
54,5572.6,1.00258,1.04272,1.08037,0.75364,0.69359,0.75873,0.53816,0.92285,1.38394,1.02448,0.00068825,0.00068825,0.00068825
55,5675.03,0.98595,1.04669,1.07075,0.7592,0.71866,0.75988,0.54028,0.90693,1.323,1.01443,0.0006635,0.0006635,0.0006635
56,5777.93,1.00003,1.03905,1.06472,0.72038,0.73398,0.76769,0.54759,0.92625,1.35627,1.05895,0.00063875,0.00063875,0.00063875
57,5881.36,0.98541,1.00152,1.07127,0.75409,0.71866,0.77231,0.55327,0.93008,1.40277,1.02287,0.000614,0.000614,0.000614
58,5984.13,0.96995,0.99904,1.06711,0.77664,0.69499,0.76021,0.54276,0.9087,1.4043,1.00663,0.00058925,0.00058925,0.00058925
59,6088.04,0.96401,0.99878,1.06211,0.7351,0.68802,0.75209,0.5372,0.93943,1.38836,1.04627,0.0005645,0.0005645,0.0005645
60,6190.7,0.95974,0.98405,1.068,0.74,0.70334,0.75358,0.54245,0.89819,1.42984,1.01676,0.00053975,0.00053975,0.00053975
61,6294.6,0.96168,0.97251,1.04992,0.74034,0.73955,0.76876,0.55995,0.88656,1.4,1.00718,0.000515,0.000515,0.000515
62,6397.07,0.95186,0.96617,1.05337,0.77243,0.70056,0.76019,0.55572,0.88687,1.4073,1.00253,0.00049025,0.00049025,0.00049025
63,6500.02,0.93584,0.96438,1.0412,0.75179,0.7129,0.76253,0.54568,0.8999,1.33172,1.00743,0.0004655,0.0004655,0.0004655
64,6604.18,0.89618,0.92525,1.0244,0.76063,0.71031,0.75847,0.5511,0.91398,1.40779,1.02032,0.00044075,0.00044075,0.00044075
65,6707,0.92803,0.9638,1.05766,0.72273,0.73697,0.76426,0.54628,0.91958,1.29913,1.02985,0.000416,0.000416,0.000416
66,6811.1,0.93171,0.95463,1.036,0.72992,0.71516,0.76477,0.55899,0.85542,1.27286,0.98409,0.00039125,0.00039125,0.00039125
67,6913.84,0.89601,0.90282,1.01875,0.72914,0.71985,0.75871,0.55123,0.84322,1.37846,0.9843,0.0003665,0.0003665,0.0003665
68,7018.48,0.91734,0.91328,1.03197,0.7492,0.70312,0.76011,0.55713,0.84175,1.34787,0.98744,0.00034175,0.00034175,0.00034175
69,7121.36,0.91466,0.93563,1.03365,0.72715,0.71637,0.74894,0.54841,0.84833,1.42642,0.98379,0.000317,0.000317,0.000317
70,7224.76,0.88718,0.87372,1.01762,0.77019,0.69549,0.75888,0.55076,0.86308,1.26111,0.99585,0.00029225,0.00029225,0.00029225
71,7349.08,0.81181,0.84583,0.9466,0.74335,0.71804,0.76627,0.55102,0.8868,1.26154,1.02375,0.0002675,0.0002675,0.0002675
72,7451.08,0.81491,0.8289,0.94654,0.71668,0.73634,0.76596,0.56123,0.8572,1.302,1.00303,0.00024275,0.00024275,0.00024275
73,7554.36,0.81485,0.845,0.94392,0.73068,0.71866,0.76987,0.56922,0.84719,1.32236,0.98921,0.000218,0.000218,0.000218
74,7655.28,0.79701,0.79834,0.93346,0.76165,0.71588,0.77261,0.56302,0.86663,1.3692,0.99305,0.00019325,0.00019325,0.00019325
75,7759.11,0.81655,0.78972,0.94026,0.75313,0.71031,0.76753,0.56373,0.84599,1.3384,1.00178,0.0001685,0.0001685,0.0001685
76,7859.73,0.79459,0.77275,0.93735,0.72119,0.76376,0.77818,0.57021,0.84382,1.32724,0.98805,0.00014375,0.00014375,0.00014375
77,7962.57,0.77654,0.76245,0.9136,0.74298,0.73259,0.7685,0.5615,0.85896,1.42557,1.00538,0.000119,0.000119,0.000119
78,8064.61,0.78102,0.76749,0.93997,0.73808,0.74177,0.76759,0.56459,0.84399,1.38207,0.99197,9.425e-05,9.425e-05,9.425e-05
79,8165.42,0.75696,0.76842,0.91787,0.74647,0.73811,0.76938,0.56421,0.85039,1.3504,0.99813,6.95e-05,6.95e-05,6.95e-05
80,8268.52,0.75976,0.75491,0.91831,0.73854,0.74234,0.77471,0.57138,0.8417,1.34731,0.98782,4.475e-05,4.475e-05,4.475e-05
